Product Name,Model,Price,Quantity,Status,Image,Description
Bangle 2/18,اساور الضاحية قياس 18,68.0000,0,,,
Bangle 2/19,اساور الضاحية قياس 19,74.0000,1,,,
Bangle 20,اساور 20,80.0000,0,,,
Bangle 28,Bangle 28,49.0000,0,,,
Bangle 29,Bangle 29,22.0000,1,,,
Bangle 3/17,Bangel 3/17,42.0000,1,,,
Bangle 3/18,اساور دقه الباجله قياس 17,45.0000,1,,,
Bangle 3/19,اساور دقه الباجله قياس 19,50.0000,0,,,
Bangle 4/17,اساور دقه حبة البخي قياس 17,60.0000,1,,,
Bangle 4/18,اساور جسر جابر قياس 18,60.0000,1,,,
Bangle 4/20,اسوار جسر جابر قياس 17,60.0000,1,,,
bracelet 10,انسيال 10 ,8.0000,1,,,
bracelet 11,انسيال 11,23.0000,1,,,
bracelet 12,انسيال 12,13.0000,1,,,
bracelet 13,انسيال 13,8.0000,1,,,
bracelet 14,انسيال 14,20.0000,0,,,
bracelet 15,انسيال 15,12.0000,1,,,
bracelet 16,انسيال 16,13.0000,1,,,
bracelet 17,انسيال 17,10.0000,1,,,
bracelet 18,انسيال 18,9.0000,1,,,
bracelet 19,انسيال 19,21.0000,1,,,
bracelet 20,انسيال 20,11.0000,1,,,
bracelet 21,انسيال 21,12.0000,1,,,
bracelet 22,انسيال 22,10.0000,1,,,
bracelet 23,انسيال 23,15.0000,1,,,
bracelet 24,انسيال 24,20.0000,1,,,
bracelet 25,انسيال 25,17.0000,1,,,
bracelet 26,انسيال 26,18.0000,1,,,
bracelet 27,انسيال 27,12.0000,1,,,
bracelet 28,انسيال 28,12.0000,1,,,
bracelet 28,انسيال 27 ,13.0000,1,,,
bracelet 29,انسيال 29,10.0000,1,,,
bracelet 29,انسيال 29,21.0000,1,,,
bracelet 30,انسيال 30,8.0000,1,,,
bracelet 30,انسيال 30,10.0000,1,,,
bracelet 31,انسيال 31,15.0000,1,,,
"BRACELET 31.1 Gram BTC 24K ""Ayatul Kursi"" 999.9 Purity","BRACELET 31.1 Gram BTC 24K ""Ayatul Kursi"" 999.9 Purity",80.0000,0,,,
Bracelet 32,Braclet 32,32.0000,1,,,
bracelet 32,انسيال 32,15.0000,1,,,
Bracelet 33,انسيال 33,20.0000,1,,,
bracelet 33,انسيال 33,25.0000,1,,,
Bracelet 34,انسيال 34,10.0000,1,,,
bracelet 34,انسيال 34,13.0000,1,,,
chain 1,سلسال 1,33.8000,1,,,
chain 2,سلسال سنيك  2,63.5000,0,,,
Chain 3,سلسال  زنجير 3,0.0000,1,,,
chain 4,سلسال  زنجير 4,87.7500,1,,,
chian 5,سلسال  5,44.8500,1,,,
chian 6,سلسال  6,41.1250,1,,,
